state_code,county_code,site_number,parameter_code,poc,parameter_name,open_date,close_date,concurred_exclusions,dominant_source,measurement_scale,measurement_scale_def,monitoring_objective,last_method_code,last_method_description,last_method_begin_date,naaqs_primary_monitor,qa_primary_monitor,monitor_type,networks,monitoring_agency_code,monitoring_agency,si_id,latitude,longitude,datum,lat_lon_accuracy,elevation,probe_height,pl_probe_location,local_site_name,address,state_name,county_name,city_name,cbsa_code,cbsa_name,csa_code,csa_name,tribal_code,tribe_name,year
16,009,0010,88101,1,PM2.5 - Local Conditions,2003-07-14,,,,NEIGHBORHOOD,500 M TO 4KM,POPULATION EXPOSURE,545,Met One E-SEQ-FRM PM2.5 with VSCC - Gravimetric,2018-11-23,Y,Y,SLAMS,,0511,Idaho Department Of Health And Welfare-Environment Division,3486,47.316577,-116.571281,WGS84,109305.56,0.0,5.0,TOP OF BUILDING,St. Maries,"USFS AT 9TH AND CENTER, St. Maries, Idaho",Idaho,Benewah,Not in a City,,,,,,,2023
16,079,0017,88101,1,PM2.5 - Local Conditions,1999-09-03,,,,NEIGHBORHOOD,500 M TO 4KM,POPULATION EXPOSURE,545,Met One E-SEQ-FRM PM2.5 with VSCC - Gravimetric,2019-09-09,Y,,SLAMS,,0511,Idaho Department Of Health And Welfare-Environment Division,3603,47.536389,-116.236667,WGS84,0.0,671.0,3.0,TOP OF BUILDING,Pinehurst,"PINEHURST/PINEHURST SCHOOL, PINEHURST",Idaho,Shoshone,Pinehurst (Pine Creek),,,,,,,2023
16,027,0010,88101,1,PM2.5 - Local Conditions,2023-04-20,,,,NEIGHBORHOOD,500 M TO 4KM,POPULATION EXPOSURE,545,Met One E-SEQ-FRM PM2.5 with VSCC - Gravimetric,2023-04-20,Y,,SLAMS,,0511,Idaho Department Of Health And Welfare-Environment Division,105199,43.59946,-116.52924,WGS84,10.0,758.0,2.4,GROUND LEVEL SUPPORT,Nampa - Ridgecrest,3730 Ridgecrest Drive,Idaho,Canyon,Nampa,14260,"Boise City, ID",147,"Boise City-Mountain Home-Ontario, ID-OR",,,2023
16,059,0004,88101,1,PM2.5 - Local Conditions,2003-02-07,,,,NEIGHBORHOOD,500 M TO 4KM,POPULATION EXPOSURE,545,Met One E-SEQ-FRM PM2.5 with VSCC - Gravimetric,2020-10-01,Y,,SLAMS,,0511,Idaho Department Of Health And Welfare-Environment Division,3562,45.181897,-113.890285,WGS84,1.0,1197.0,2.2,GROUND LEVEL SUPPORT,Salmon - Charles St.,618 North Saint Charles Street,Idaho,Lemhi,Not in a City,,,,,,,2023
16,001,0010,88101,1,PM2.5 - Local Conditions,2006-09-26,2025-09-11,,,NEIGHBORHOOD,500 M TO 4KM,POPULATION EXPOSURE,545,Met One E-SEQ-FRM PM2.5 with VSCC - Gravimetric,2021-12-20,,,,,0511,Idaho Department Of Health And Welfare-Environment Division,93290,43.600699,-116.347853,WGS84,20.0,826.0,2.0,GROUND LEVEL SUPPORT,Meridian - St. Luke's,"520 S. EAGLE ROAD,  MERIDIAN",Idaho,Ada,Not in a City,14260,"Boise City, ID",147,"Boise City-Mountain Home-Ontario, ID-OR",,,2023
16,027,0002,88101,1,PM2.5 - Local Conditions,2008-06-20,2023-04-18,,,NEIGHBORHOOD,500 M TO 4KM,POPULATION EXPOSURE,545,Met One E-SEQ-FRM PM2.5 with VSCC - Gravimetric,2021-07-10,,,,,0511,Idaho Department Of Health And Welfare-Environment Division,3511,43.58031,-116.562676,WGS84,1821.76,0.0,9.0,TOP OF BUILDING,Nampa - Fire Station,NAMPA FIRE STN/923 1ST ST,Idaho,Canyon,Nampa,14260,"Boise City, ID",147,"Boise City-Mountain Home-Ontario, ID-OR",,,2023
16,009,0010,88101,2,PM2.5 - Local Conditions,2018-11-28,,,,NEIGHBORHOOD,500 M TO 4KM,POPULATION EXPOSURE,545,Met One E-SEQ-FRM PM2.5 with VSCC - Gravimetric,2018-11-28,,,SLAMS,,0511,Idaho Department Of Health And Welfare-Environment Division,3486,47.316577,-116.571281,WGS84,109305.56,0.0,5.0,TOP OF BUILDING,St. Maries,"USFS AT 9TH AND CENTER, St. Maries, Idaho",Idaho,Benewah,Not in a City,,,,,,,2023
16,041,0002,88101,1,PM2.5 - Local Conditions,2005-02-01,,,,NEIGHBORHOOD,500 M TO 4KM,POPULATION EXPOSURE,545,Met One E-SEQ-FRM PM2.5 with VSCC - Gravimetric,2021-11-04,Y,,SLAMS,,0511,Idaho Department Of Health And Welfare-Environment Division,92299,42.082222,-111.864167,WGS84,1.0,1439.0,2.06,GROUND LEVEL SUPPORT,Preston,PRESTON JR. HIGH - 450 E. VALLEY VIEW DRIVE,Idaho,Franklin,Preston,30860,"Logan, UT-ID",,,,,2023
16,005,0020,88101,3,PM2.5 - Local Conditions,2001-11-15,,,,,,REGIONAL TRANSPORT,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C - Beta Attenuation,2025-01-01,Y,Y,TRIBAL,,180,Shoshone-Bannock Tribes of Fort Hall Reservation of Idaho,90720,42.978248,-112.455813,WGS84,50.0,1356.0,,,BALLARD ROAD,BALLARD RD,Idaho,Bannock,Not in a City,38540,"Pocatello, ID",,,180,Shoshone-Bannock Tribes of Fort Hall Reservation of Idaho,2023
16,009,0010,88101,1,PM2.5 - Local Conditions,2003-07-14,,,,NEIGHBORHOOD,500 M TO 4KM,POPULATION EXPOSURE,545,Met One E-SEQ-FRM PM2.5 with VSCC - Gravimetric,2018-11-23,Y,Y,SLAMS,,0511,Idaho Department Of Health And Welfare-Environment Division,3486,47.316577,-116.571281,WGS84,109305.56,0.0,5.0,TOP OF BUILDING,St. Maries,"USFS AT 9TH AND CENTER, St. Maries, Idaho",Idaho,Benewah,Not in a City,,,,,,,2024
