time_stamp,sensor_index,humidity,pm2.5_atm_a,pm2.5_atm_b
1729900800,236301,38,10.3,9.8
1733011200,236301,51,45.5,42.5
1732406400,236301,58,0.4,0.3
1728518400,236301,27,19.6,18.4
1726531200,236301,48,10.0,8.9
1726185600,236301,36,7.4,6.6
1729209600,236301,37,0.8,0.7
1726617600,236301,39,14.8,13.3
1729728000,236301,50,4.4,3.8
1733097600,236301,51,47.3,45.2
1728432000,236301,19,10.2,9.2
1733356800,236301,51,61.8,60.8
1732752000,236301,46,3.0,2.6
1726963200,236301,21,2.9,2.5
1726444800,236301,36,5.6,4.8
1728691200,236301,33,29.6,27.9
1731024000,236301,41,16.1,14.9
1732492800,236301,53,0.1,0.1
1733702400,236301,58,28.9,27.6
1733529600,236301,58,56.2,54.3
1731801600,236301,53,3.8,3.0
1727308800,236301,19,3.8,3.3
1728000000,236301,16,5.9,5.2
1731196800,236301,42,32.7,30.6
1734220800,236301,63,0.2,0.2
1727913600,236301,20,4.9,4.6
1726358400,236301,22,9.0,8.1
1733616000,236301,60,47.1,45.5
1726704000,236301,37,16.4,14.5
1728172800,236301,17,9.1,8.5
1729382400,236301,25,2.9,2.7
1729468800,236301,28,1.3,1.0
1730937600,236301,43,17.1,15.6
1734912000,236301,54,33.4,31.7
1733270400,236301,58,69.4,67.0
1730160000,236301,49,2.3,2.0
1730332800,236301,45,0.8,0.7
1733961600,236301,50,30.3,29.0
1727136000,236301,28,2.3,1.9
1727481600,236301,25,5.9,5.2
1726012800,236301,20,25.0,23.6
1732060800,236301,35,0.9,0.5
1730764800,236301,49,2.3,2.1
1732147200,236301,41,0.4,0.3
1735344000,236301,67,0.4,0.4
1733788800,236301,49,24.7,23.7
1729036800,236301,33,15.5,14.5
1731542400,236301,36,0.4,0.4
1730246400,236301,42,6.0,4.9
1733875200,236301,48,29.4,27.8
1726272000,236301,25,6.7,5.6
1733184000,236301,54,61.3,58.6
1735171200,236301,66,0.2,0.1
1725926400,236301,9,35.5,34.0
1732233600,236301,64,1.7,1.3
1734998400,236301,56,7.4,6.3
1729814400,236301,45,9.2,7.9
1730419200,236301,49,1.6,0.8
1731974400,236301,53,0.8,0.6
1726099200,236301,26,7.9,7.2
1732838400,236301,52,8.0,6.9
1728777600,236301,28,40.1,38.6
1731456000,236301,45,0.3,0.2
1733443200,236301,56,51.9,49.8
1732320000,236301,56,0.6,0.5
1732665600,236301,53,14.3,13.5
1728259200,236301,20,9.7,8.9
1730851200,236301,46,5.6,5.2
1726790400,236301,32,10.3,9.1
1730505600,236301,56,3.3,2.8
1731369600,236301,48,10.2,9.5
1731628800,236301,45,6.6,6.0
1727827200,236301,13,11.8,11.0
1727568000,236301,20,5.7,5.0
1729296000,236301,28,2.1,1.9
1729123200,236301,49,11.7,10.8
1730073600,236301,48,1.6,1.4
1727395200,236301,24,4.3,3.7
1728345600,236301,18,6.5,5.9
1735516800,236301,46,0.5,0.5
1728604800,236301,28,25.2,23.4
1734393600,236301,65,2.0,1.8
1731715200,236301,49,4.3,3.7
1735430400,236301,67,0.0,0.0
1731110400,236301,39,19.2,17.7
1730592000,236301,51,2.3,2.1
1726876800,236301,21,3.1,2.8
1735257600,236301,61,0.2,0.2
1734134400,236301,66,0.4,0.2
1734480000,236301,56,1.2,1.0
1731888000,236301,54,0.8,0.7
1732924800,236301,45,17.7,16.0
1727740800,236301,16,2.7,2.4
1728950400,236301,23,15.6,14.4
1729987200,236301,27,4.8,4.4
1734048000,236301,56,29.7,27.0
1734566400,236301,56,3.1,2.6
1727049600,236301,21,4.9,4.4
1727222400,236301,23,1.3,1.0
1727654400,236301,19,1.6,1.3
1734307200,236301,68,0.4,0.3
1728864000,236301,27,29.1,27.3
1735084800,236301,57,1.0,0.8
1729641600,236301,35,6.8,6.0
1730678400,236301,49,1.7,1.5
1729555200,236301,29,3.3,3.0
1731283200,236301,46,14.8,12.5
1728086400,236301,24,6.4,5.8
1732579200,236301,55,5.3,4.8
1734652800,236301,52,4.8,4.5
1734825600,236301,53,25.4,23.7
1734739200,236301,58,10.8,10.0
