sensor_index,last_seen,name,position_rating,latitude,longitude,confidence
114597,1775075707,Crooked Creek,0,44.232845,-115.00163,93
171725,1775075706,Evermore Farm,5,46.785374,-116.985985,100
119643,1775075706,11529NGC,0,47.777714,-117.03529,0
112832,1775075706,Lakeshore Drive,5,48.22859,-116.569756,0
230627,1775075705,Dye Ln,0,43.51027,-116.478455,100
244955,1775075704,Foothills Learning Center,0,43.641094,-116.18401,0
164451,1775075704,Dogwood Place,5,43.702183,-116.34955,100
114859,1775075704,Custer Motor Way - 5.5mi WSW of Challis - elevation 6450,0,44.479797,-114.327835,100
61171,1775075702,"1405 Warren Wagon Rd. McCall, Idaho 83638",5,44.91856,-116.12558,100
121987,1775075702,Hulls Gulch,5,43.638664,-116.18375,0
10906,1775075701,NussHaus,5,43.5412,-116.143,44
150276,1775075700,Talache,0,48.124256,-116.47939,53
112794,1775075700,Rockford Point,0,47.48718,-116.87692,100
155091,1775075700,Northwood,5,43.6919,-114.36997,100
229341,1775075700,Timm Street,5,44.90406,-116.092766,100
172979,1775075699,Winchester Lake State Park,0,46.23584,-116.627335,100
108048,1775075698,PRLD Winchester Library,5,46.23991,-116.62238,100
120465,1775075697,Plateau Drive,5,43.61153,-116.15745,100
79341,1775075697,Springdale,0,42.509678,-113.70489,74
154731,1775075696,Cascade,2,44.481995,-116.00805,62
241925,1775075696,Meadows Valley Fire Department,5,44.97138,-116.28834,100
292051,1775075695,CMS,5,43.02198,-112.4123,100
229713,1775075693,Star,0,43.707394,-116.46922,100
121115,1775075693,Canterbury,0,43.712357,-116.3872,100
69187,1775075692,West Ketchum,5,43.674675,-114.36935,100
115513,1775075692,TimberlakeFire#1,5,47.947906,-116.70317,0
256955,1775075690,Council School District,0,44.726105,-116.440445,0
22977,1775075690,Hailey ICR,1,43.52901,-114.31772,100
155133,1775075690,ElkAndMoose,5,43.62314,-114.352715,0
292063,1775075689,Aq building,5,43.027336,-112.43402,100
90399,1775075688,Phillippi,5,43.619904,-116.2489,100
153886,1775075688,AirSensor,0,42.428577,-112.107475,100
236833,1775075687,Dog Run,0,43.68824,-114.33717,100
176859,1775075686,Upper Cartwright,5,43.70736,-116.24969,100
102522,1775075684,Red Fir Road,5,48.22812,-116.29809,100
60887,1775075682,water wheel,0,42.929993,-112.54003,0
240637,1775075679,Ring Perch Ct,5,43.54652,-116.27092,100
287736,1775075677,Garando,0,45.403694,-114.20925,100
80817,1775075677,Twin Lakes Village,5,47.868187,-116.85457,100
228393,1775075676,Weippe Discovery Center,5,46.37563,-115.94258,100
272543,1775075676,PRLD Peck Library,5,46.475185,-116.422424,100
104582,1775075676,Shenandoah West Subdivision,5,43.642525,-116.30467,100
108958,1775075675,Troy,5,46.742332,-116.76536,100
177401,1775075674,Shoshone,0,48.5291,-116.89136,0
293761,1775075674,woof,5,43.64744,-116.3694,91
232791,1775075674,Stage Stop 44,5,43.63461,-116.0315,100
109970,1775075674,Riverstone at CDA,5,47.69641,-116.80943,100
259850,1775075672,Arboretum,0,43.57747,-116.151,100
177881,1775075670,Hailey North,5,43.530743,-114.320984,100
251739,1775075670,Silver Lake,0,43.64882,-116.257195,100
191693,1775075669,North End Boise,0,43.6301,-116.20781,100
113466,1775075669,MN,5,43.567818,-116.3182,100
109858,1775075669,Stierman Gulch,0,43.743107,-115.926735,100
248705,1775075669,Evergreen Supply,0,48.154865,-116.19041,85
238319,1775075669,25th &amp; Regan,0,43.628273,-116.22207,100
195433,1775075669,Galena Lodge,0,43.872093,-114.655,100
277761,1775075668,LoloPass_MissoulaPublicHealth,5,46.634388,-114.57822,100
109118,1775075668,CIRO/CRSP Visitor Center,5,42.09089,-113.63149,99
248583,1775075668,Osprey,0,43.718426,-115.950066,100
115565,1775075667,Tribal Headquarters,5,48.708073,-116.36974,100
195421,1775075665,Caldwell,0,43.640015,-116.71441,100
238589,1775075665,Backyard,0,43.630856,-116.21522,100
307060,1775075662,E Front Ave,5,47.672153,-116.77264,100
104744,1775075662,Bigwood,5,43.697624,-114.36654,100
236297,1775075661,Kodiak,0,43.581867,-116.401855,100
104548,1775075661,Twin Creek,1,43.721046,-111.22635,94
227051,1775075659,Rainey Creek,5,43.439316,-111.30177,100
77883,1775075658,WB6DHW,0,46.179886,-115.9581,79
176257,1775075658,Kamiah,5,46.20878,-116.02634,100
116399,1775075657,Mountain Budgie Bean,0,44.81537,-116.03464,100
155149,1775075657,Sun Valley,4,43.689007,-114.35295,100
288032,1775075657,FF,0,43.706203,-116.37627,100
226489,1775075655,Coeur d'Alene Tribal Housing Authority,5,47.3242,-116.886444,100
231831,1775075654,Coeur d'Alene Tribe Headquarters,5,47.33776,-116.88667,100
272367,1775075654,Worley Longhouse,5,47.39909,-116.91497,100
105492,1775075652,Heidelberg,5,43.692593,-114.38634,62
56465,1775075652,The SimondsPlace,0,42.506653,-114.420166,12
299595,1775075650,Boise City Hall,5,43.615406,-116.201485,100
238281,1775075650,Marsing-Homedale,0,43.544033,-116.91752,100
98715,1775075649,GYCC Site 3 Victor,5,43.60381,-111.11108,100
79483,1775075649,"Harrison, idaho",5,47.627796,-116.768776,100
238717,1775075648,Cascade Hills Outdoors,5,43.730873,-116.57416,100
14057,1775075647,"Hillsdale Estates, Star Idaho",5,43.73669,-116.48916,100
155181,1775075646,Elkhorn,0,43.675755,-114.32501,100
229623,1775075646,Driggs North,5,43.770073,-111.07802,100
305878,1775075645,Schweitzer,5,48.358753,-116.6171,97
229031,1775075644,Quigley Trails Park,0,43.521008,-114.29055,90
113718,1775075643,East Hickories,5,43.65442,-116.3183,100
72353,1775075643,Packsaddle,5,43.773643,-111.28724,100
192327,1775075642,"Dudley, ID",0,47.52795,-116.43303,100
111874,1775075642,Cultis Bay Street,5,43.67839,-116.31026,100
232311,1775075641,Sandpoint,5,48.35754,-116.47349,30
108046,1775075641,PRLD Nezperce Library,5,46.234936,-116.24066,100
172803,1775075640,Cavendish-Teakean Elementary,5,46.55625,-116.42584,66
238957,1775075640,CORMK_City of Riggins City Hall,0,45.422688,-116.31382,100
112050,1775075640,Idaair,0,48.275127,-116.66647,100
172801,1775075639,Nez Perce Tribe CASTNET,0,46.274895,-116.0194,100
164705,1775075637,East Rooster Drive,5,43.712475,-116.35091,100
282168,1775075637,carlkidcrypto-purpleair3,0,46.747128,-116.99886,100
289976,1775075637,Honeysuckle Xata,0,47.753998,-116.75852,100
240911,1775075635,Tamarack Village St Miguel,0,44.670383,-116.12223,100
235841,1775075634,Shady Grove Exterior,4,44.885567,-116.0525,100
32539,1775075634,Priest Lake State Park-Indian Creek Unit,5,48.61497,-116.83054,4
296515,1775075633,Sunrise Ave,0,43.48101,-116.51946,0
81569,1775075632,Nampa ASU,5,43.607616,-116.568634,100
108052,1775075631,Clearwater Memorial Public Library,5,46.480915,-116.25111,100
80771,1775075629,N. Strata Via Way,5,43.60659,-116.15201,100
239093,1775075628,Mountain Home School District Office,0,43.13485,-115.69451,100
178117,1775075628,PRLD Kamiah,5,46.22697,-116.02779,100
102608,1775075628,Kaniksu Shores,5,48.310772,-116.46407,100
291918,1775075628,McCall Field Campus,0,44.92737,-116.08779,100
40715,1775075627,Fish Haven Canyon Estates,5,42.045555,-111.42148,100
302354,1775075627,Southwest Nampa,0,43.54627,-116.53342,100
293475,1775075626,WRR,0,43.675823,-116.33129,100
153934,1775075625,Lowmeister Bay,3,47.436527,-116.795784,100
79757,1775075624,3470 W Miners Farm Dr,5,43.71431,-116.238495,95
232713,1775075622,Zenergy Health Club,5,43.694653,-114.365326,100
232675,1775075622,Valley View Cabins,0,43.950344,-114.862564,100
221215,1775075617,1495 North Westside Hwy.,0,42.123802,-111.993805,2
264149,1775075612,PRLD Craigmont Library,5,46.2402,-116.47736,100
97295,1775075612,Montoya- Blossom Ridge,0,47.677975,-116.95839,99
36589,1775075610,Autumn Lane,5,48.26324,-116.5697,0
236129,1775075610,Cloverdale,5,43.612522,-116.33408,0
235863,1775075607,North End,5,43.6323,-116.201256,100
108036,1775075606,PRLD Culdesac Library,5,46.37389,-116.669945,100
272323,1775075605,MH Medical Center,5,47.342686,-116.89384,100
126279,1775075605,Timbersaw &amp; Honeycomb,5,43.577747,-116.13301,92
108780,1775075604,Nez Perce National Historical Park,5,46.447422,-116.82278,100
176255,1775075604,PRLD Kooskia Library,5,46.13913,-115.97921,100
80601,1775075602,MAC Inlet,5,43.607376,-116.56886,100
49359,1775075600,Lucks Point,5,44.944332,-116.05862,100
154997,1775075600,Garden District,5,47.675888,-116.777275,100
219001,1775075599,Gimlet,5,43.625137,-114.345345,100
98563,1775075599,GYCC Site 4 Island Park,0,44.33729,-111.46729,99
233333,1775075596,MAP-AQI,0,43.066765,-115.38757,100
171695,1775075596,"Indian Creek, Kuna",0,43.48618,-116.38658,100
27287,1775075595,BOISE STATE ATHLETICS,5,43.602463,-116.19654,83
60821,1775075595,Twin Rivers camp ground,5,48.71789,-116.18565,100
231835,1775075594,Coeur d'Alene Tribe ECLC,0,47.339317,-116.89372,100
91437,1775075594,Shady Beach,5,44.928238,-116.061455,100
171387,1775075594,Ketchum,5,43.675552,-114.359955,100
7494,1775075593,MesaVista,5,43.596016,-116.208206,100
272305,1775075592,Evan Abraham Longhouse,5,47.14482,-116.91686,100
191171,1775075592,Giberson,1,48.239132,-116.28809,100
112910,1775075592,Hailey,3,43.54977,-114.33224,100
101796,1775075591,redrectangle,5,46.740704,-116.9823,100
306124,1775075588,MorningBlue,5,44.693634,-116.10021,100
232673,1775075588,BOAS,5,43.595295,-116.20501,100
274422,1775075588,Wood Shed,0,43.71717,-115.99798,100
242837,1775075570,US EPA CASTNET NPT006_242837,0,46.276005,-116.02017,100
236349,1775075558,Bogus Basin J.R. Simplot Lodge,0,43.76442,-116.10327,100
196173,1775075558,McCall golf course,5,44.92169,-116.08845,100
198957,1775075557,West Deary,0,46.799507,-116.56371,100
256941,1775075523,ASWCD Indian Valley,0,44.521847,-116.4331,60
103880,1774975842,Flannigan Creek,0,46.863094,-116.933914,56
36707,1774970809,FIREX-AQ Lewiston,5,46.413364,-117.02727,41
154199,1774826664,Katz Ketchum,5,43.687634,-114.40338,100
191573,1774817729,Rosa De Saron Internacional AG,0,43.63,-116.65072,60
33851,1774383074,Firex-MOSS,3,44.927,-116.089,0
116795,1774375923,UM203_Boise High School (Tech Bldg),5,43.62036,-116.20142,100
233331,1774123545,JmAirLook,0,43.589027,-116.551216,0
132093,1774049604,Nampa Public Library,5,43.57786,-116.56153,89
155035,1773873247,Benoit St,5,47.769,-116.80024,100
60961,1773856004,Avimor,5,43.78976,-116.26138,100
177879,1773450984,William Vetter,5,43.83558,-116.48917,100
272365,1773149212,MH Wellness Center,5,47.337708,-116.890396,100
221155,1773082896,55 West 100 South,0,42.09395,-111.87822,100
238057,1771524043,Jug Handle Estates,1,44.828365,-116.01413,100
152112,1770400571,Air Quality,0,43.027336,-112.43398,100
292057,1770290365,Sage hill,5,43.14441,-112.395485,100
152956,1770229567,E. ROSS FORK RD,5,43.022095,-112.411896,0
171735,1770209863,BW,0,48.84993,-116.41506,100
236301,1768577612,Southland KND,0,43.459995,-116.26694,100
82333,1767813893,Welker,5,43.614372,-116.40067,100
227781,1767567150,TEPP Thomas Loop,0,42.016907,-116.14508,12
175855,1767056195,River,0,47.586815,-116.26673,100
80927,1766400263,Dorothy,5,43.5337,-111.960945,100
287746,1766354331,Tripod Court Tamarack,0,44.663258,-116.1278,100
79593,1766160196,Sawtooth City,5,43.903057,-114.79389,83
232367,1764534839,Pioneer,2,44.87118,-116.06392,100
275420,1764433715,Crown Point,0,44.535343,-116.054436,0
238671,1764297363,Clinton,0,43.608795,-116.23399,100
121945,1763322797,Starlington,5,43.584602,-116.1536,59
77819,1763075477,Stanley ID,3,44.22303,-114.92671,87
192085,1762948634,2782 Sunburst,0,43.681038,-114.33583,100
84407,1762832346,Priest Lake,5,48.606277,-116.847,100
122277,1762635405,"Dewberry Lane, Sagle",0,48.254097,-116.41596,0
272331,1762558807,Coeur d'Alene Tribe Fire Shop,5,47.31217,-116.9561,100
279562,1762504568,Diamond Point,5,48.657097,-116.8518,100
221241,1762324506,Purple Air Sensor,0,42.08271,-111.86327,100
272325,1761953249,Coeur d'Alene Tribe Facilities Shop,5,47.397926,-116.90688,100
84523,1761672373,Craters of the Moon,5,43.462,-113.562,100
120543,1761370247,Goldfork Court,0,44.68433,-116.08325,0
113022,1760140953,"The Afton, Boise",5,43.6113,-116.208084,100
235977,1759696871,Barn,0,42.02347,-111.77619,86
112990,1759346357,Idaho Shakespeare Festival,5,43.562412,-116.11463,100
292055,1758899683,North location,1,43.60335,-116.195854,100
108254,1757695469,Beyond,4,48.20667,-116.29078,100
149226,1757543747,Valleywood-Out,3,43.702682,-114.36032,100
161469,1756841288,St Maries,5,47.316887,-116.570786,100
125985,1755721038,Valley Forge Ave.,0,43.566525,-116.15622,100
121003,1755711854,DeerCrest,1,44.519913,-111.35422,71
68507,1755528144,Jeremiah Outdoor,5,42.590916,-114.43436,70
232699,1755433709,DLP,3,43.609898,-116.19081,3
236219,1755124131,Callan Farms - Tamarack,0,44.66302,-116.127396,16
272315,1754508011,MH Coeur Center,0,47.39876,-116.91288,100
108044,1754407951,PRLD Craigmont,5,46.24064,-116.47573,100
224517,1753738660,Honeysuckle Hayden,0,47.75352,-116.75879,100
114461,1752612083,Chocolate Gulch,5,43.77201,-114.41199,51
125983,1752345065,Bear Tree farm,5,47.503227,-116.7425,92
242073,1751832317,Council Greens Fairway 9,0,44.717445,-116.43842,100
108040,1751050270,PRLD Peck Library,5,46.4751,-116.42215,100
250011,1750892802,Cormk_hotel51,5,43.586887,-116.27756,100
147883,1747962580,carlkidcrypto-purpleair,5,46.747154,-116.998795,100
113987,1746734011,Weeping Willow Ct,5,47.754765,-116.73406,90
272339,1744315875,MH Finance,0,47.33591,-116.89038,100
264151,1743711554,PRLD Kamiah,5,46.227074,-116.02787,100
3705,1743251014,PSU STAR Lab Boise Brookwood,5,43.707935,-116.34269,100
188389,1742324961,Meteor,0,43.58627,-116.14055,100
108054,1741701773,PRLD Kamiah Library 1,5,46.226974,-116.02787,100
59949,1736288245,Sage hill,5,43.144253,-112.39533,100
225285,1734124102,Idaho City USFS,0,43.821545,-115.84276,100
237043,1734102966,Oakley High School,0,42.24391,-113.88999,100
253361,1733766932,Combustion lab,0,46.7248,-116.95878,100
126867,1732317716,Hayden lake Idaho,5,47.75276,-116.75976,75
187563,1731182380,Camas Prarie,3,43.36172,-114.5823,99
164387,1730848568,Football Field,5,43.51907,-114.29377,100
235775,1730310625,ICO Plant,0,45.13986,-114.351776,100
81257,1729722961,Hailey,5,43.51614,-114.303345,100
196329,1729284037,CORMK_Colson Cr,0,45.300453,-114.533264,100
188073,1728065962,Sandy Ave,5,43.931545,-116.65097,55
235203,1727130237,CORMK_WapitiFire,5,44.02,-114.8326,100
196307,1727129118,CORMK_Wapiti Fire - Lowman FOB (Outdoor),0,44.075066,-115.498,100
157873,1726611632,Garden Valley,0,44.09335,-115.95573,100
239553,1726497871,CORMK_West Mountain Spike Camp,0,44.47523,-116.05787,100
83217,1726332822,PA-C8DA,5,43.611225,-116.38331,100
126899,1726163116,Mountain Air Wind,5,43.025295,-115.46061,0
235205,1726008129,Wapiti Fire - Stanley ICP (Outdoor),0,44.003822,-114.81422,100
115757,1725563459,Skyline,3,43.688,-114.33789,100
235857,1725328603,Jz home,0,43.667934,-116.42033,100
13825,1724424548,CORMK_Council,3,44.736946,-116.4317,100
175523,1724351708,Barn,0,42.02347,-111.77619,0
115485,1724255406,CORMK_Riggins,5,45.422512,-116.314354,100
143612,1723909377,IDL-2083,5,43.582558,-116.17658,100
226463,1723157823,CSTR,0,43.031723,-115.870705,100
184903,1722823185,Fish Bay,0,48.664715,-116.86888,100
232461,1722006697,CORMK_Bench_Lake_Fire_ICP,0,44.017967,-114.826,100
185597,1719013384,Star,0,43.707226,-116.46944,100
226515,1717520858,Red Spectrum,0,47.337753,-116.885475,100
226491,1717103366,Coeur d'Alene Tribe Senwinshen Senior Housing,0,47.339596,-116.89469,100
109806,1716845745,Swan Valley,5,43.439404,-111.30184,100
194613,1715973052,CORMK_Clear Creek VFD,5,43.74541,-116.002975,100
94673,1713813759,Neibling outdoor,5,42.504723,-114.41012,96
108060,1703015693,PRLD Kooskia Library,5,46.13913,-115.97921,76
202637,1700591288,Adrian Gallo,0,43.61929,-116.19636,30
97617,1697648678,Downtown Driggs,5,43.722042,-111.10959,100
89579,1696695390,2140 Payette Drive,5,44.942158,-116.109955,100
115537,1696532928,South Ellis,0,44.67268,-114.04463,100
13817,1693772621,CORMK Farragut,5,47.96476,-116.58588,100
191385,1693267322,"North Chicken Point Road, Hayden Lake",0,47.77977,-116.68487,100
113550,1692909608,CORMK_ChinaBeach,4,45.47748,-115.37664,100
115775,1692890720,CORMK_CampbellsFerry,0,45.47748,-115.32525,100
163577,1692672049,CORMK_OPS,0,47.964394,-116.58624,30
190563,1692468401,N Boyer,0,48.31952,-116.56177,100
163601,1691853078,Leadore Airport,0,44.676517,-113.354195,30
114829,1691795358,North Fork,0,45.407246,-113.996376,100
155941,1687802474,North Black Bear Way,5,43.627808,-116.380295,100
3754,1686974307,PSU STAR Lab Boise Southeast,5,43.567505,-116.16822,100
108058,1685988502,Clearwater Memorial Public Library,0,46.480713,-116.25143,0
48627,1685746200,"Hailey,ID",5,43.5311,-114.3215,100
30971,1685564898,ST MARIES IDAHO AIR QUALITY ,5,47.331577,-116.60251,100
4489,1684883417,RP's back porch,5,43.636135,-116.21861,0
174853,1684531639,Hailey North,5,43.53099,-114.32091,100
3661,1684424818,PSU STAR Lab Boise Harrison Blvd,5,43.63053,-116.20746,100
152952,1683161401,Water wheel,0,42.929783,-112.53969,100
108042,1680136324,PRLD Lapwai Library,5,46.405243,-116.80459,100
108038,1678922463,Clearwater Memorial Public Library,0,46.480713,-116.251625,3
50073,1678408152,UYLC above front door,0,46.22776,-116.0281,100
108050,1678408138,PRLD Kamiah Library,0,46.2269,-116.02784,12
49921,1678401663,Normal Hill,3,46.40657,-117.02802,100
108056,1678314025,Clearwater Memorial Public,0,46.480713,-116.25149,96
147338,1677976566,Quail Run Extension - Outdoor 1,5,46.74622,-116.99855,100
35245,1668114995,MARTHA AVE.,0,43.27294,-115.826996,100
3629,1667719065,PSU STAR Lab South Boise Village,5,43.587414,-116.1965,95
74125,1666478141,Meridian,5,43.580776,-116.39056,100
88823,1666109396,Nezperce High School,5,46.237804,-116.23952,30
29057,1664752089,NearSys Station,5,43.616,-116.908,2
13841,1663773471,USFS-Moose ICP,0,45.15973,-113.892365,100
160637,1662762064,CORMK_ClarkFork_Library,0,48.14385,-116.162926,100
111287,1662263292,Log House,3,42.505257,-114.43466,100
108078,1660759301,Old Barn Outside,5,47.612156,-116.75346,100
7424,1659104068,PSU STAR LAB WINSTEAD PARK,5,43.6274,-116.2627,100
3732,1654619922,PSU STAR Lab Boise Azelea,5,43.67309,-116.29046,0
108696,1652730666,Sunpointe,5,43.673832,-114.32162,100
99901,1652335434,E Zaffre Ridge Street,5,43.52724,-116.100784,100
53071,1651055603,NE Sherman,5,43.628143,-116.19027,100
85757,1650759863,Gimlet outside,5,43.621223,-114.34655,100
13035,1647121874,E South Slope Emmett,5,43.8391,-116.48655,0
13249,1645823749,Idaho Conservation League - Boise,5,43.619114,-116.19633,0
22237,1641323051,PSU STAR Lab boise Hillview ,5,43.60585,-116.17322,0
98753,1639945726,"McDermitt, Nevada",0,43.6135,-116.2035,100
3740,1635894607,PSU STAR Lab Settlers Park,5,43.637974,-116.399345,100
26209,1634843448,Harbor island ,5,47.695564,-116.872925,0
110704,1634673601,Henery's North 40,0,43.714397,-116.39609,100
34451,1631207508,Moscow,5,46.73065,-116.97125,100
3744,1630270138,PSU STAR Lab Hidden Springs,5,43.725327,-116.25415,100
103886,1629737726,"Dewberry Lane, Sagle",0,48.25158,-116.415794,100
13959,1629411255,Rolling H/ICL_2,0,43.5779,-116.558,100
60853,1626735511,Hatchery 2,0,48.720238,-116.18477,100
60793,1626726481,Hatchery2,5,48.720238,-116.18477,100
92257,1626453775,Crooked Creek,5,44.232845,-115.00163,100
57427,1626289725,Featherville,0,43.58985,-115.2632,100
109414,1625330829,160 Kings Bluff Road,0,46.13688,-115.941025,100
